variable,data_type,unit,nullable,key,domain,description
paper_key,integer,-,no,FK,references metadata.papers(key),Publication this batch belongs to. Determines which publication must be cited when instances of this batch are used.
key,integer,-,no,PK,positive integer,"Surrogate primary key. Internal, not stable across releases."
id,varchar(255),-,no,AK,"free text, e.g. 'C100-CR0.2-TC0.2', 'C100-CR0.2-TC0.4' or 'C150-CR0.4-TC0.0'","Human-readable batch identifier. Unique only in combination with sensitivity_type -- the constraint is UNIQUE (id, sensitivity_type), so the same identifier may recur under a different sensitivity_type. Always carry both. Identifier schemes differ per publication and are described in the publication itself; do not parse them, read the columns."
sensitivity_type,varchar(255),-,no,AK,"default, auto, few_robot_depots, many_robot_depots, few_dropoff_points, many_dropoff_points, low_robot_service_time, high_robot_service_time, exact_comparison, low_robot_availability, variable_robot_availability","Dimension this batch varies relative to the batch with sensitivity_type = 'default' of the same publication. E.g., prefixes few_/low_ reduce and many_/high_ increase the named quantity. The value 'auto' marks a batch whose design is adopted as a whole from the referenced publication rather than varied along one dimension. 'exact_comparison' marks deliberately small batches used for comparison against an exact method -- it varies instance size rather than a problem dimension. Open set: further values may appear in later releases."
city,text,-,yes,,"city name, e.g. 'Munich'","City whose road and sidewalk networks were used as the spatial basis of the batch. NULL for instances generated on a synthetic network. The generator's city catalog, with the geographic anchor and elevation tile per city, is in metadata/generation_parameters/generator.yaml."
no_of_trucks,integer,[-],no,,positive integer,Number of trucks available per instance in this batch.
no_of_robots,text,[-],no,,'<total> (<stored in robot hubs>)' e.g. '258 (250)'; or the sentinel 'Infinity',"Robot fleet size per instance. Stored as text because it encodes a total amount of robots and an the robot count within the robot hubs, plus the sentinel 'Infinity' for an unlimited fleet. A cast to integer fails on both forms -- parse it; see metadata/description.md, 'Known pitfalls'."
no_of_customers,integer,[-],no,,positive integer,Number of customers per instance in this batch.
share_of_truck_customers_regular,double precision,[-],no,,"[0, 1]",Share of regular delivery customers that must be served by the truck rather than by a robot.
share_of_truck_customers_return,double precision,[-],yes,,"[0, 1]",Share of return-request customers that must be served by the truck. NULL for batches that do not model return requests.
share_of_truck_customers_pickup,double precision,[-],yes,,"[0, 1]",Share of pickup-request customers that must be served by the truck. NULL for batches that do not model pickup requests.
share_of_truck_pickup_locations,double precision,[-],yes,,"[0, 1]",Share of pickup locations that must be served by the truck. NULL for batches without pickup locations.
share_of_robot_customers_regular,double precision,[-],yes,,"[0, 1]",Share of regular delivery customers that must be served by a robot. NULL where not modeled separately.
share_of_robot_customers_return,double precision,[-],yes,,"[0, 1]",Share of return-request customers that must be served by a robot. NULL for batches that do not model return requests.
share_of_robot_customers_pickup,double precision,[-],yes,,"[0, 1]",Share of pickup-request customers that must be served by a robot. NULL for batches that do not model pickup requests.
share_of_robot_pickup_locations,double precision,[-],yes,,"[0, 1]",Share of pickup locations that must be served by a robot. NULL for batches without pickup locations.
share_of_return_customers,double precision,[-],no,,"[0, 1]",Share of all customers that carry a return request.
share_of_pickup_customers,double precision,[-],no,,"[0, 1]",Share of all customers that carry a pickup request.
no_of_customers_per_pickup_location,double precision,[-],no,,non-negative,"AVERAGE number of customers assigned to each pickup location. Note the type: double precision, NOT integer -- it can take fractional values such as 2.9 or 5.7. 0."
no_of_pickup_locations,integer,[-],no,,non-negative integer,Number of pickup locations per instance. 0 for batches without pickup locations.
no_of_robot_depots,integer,[-],no,,positive integer,Number of robot hubs per instance.
no_of_dropoff_points,integer,[-],no,,non-negative integer,"Number of drop-off points per instance, at which robots may be released."
altitude_difference,double precision,[m],yes,,non-negative,Altitude spread of the generated topography. NULL for batches with flat topography.
altitude_volatility,double precision,-,yes,,non-negative,For synthetic altitudes it describes the smoothness/volatility of the elevations: higher values produce more frequent and more drastic elevation changes over the same spread. Dimensionless; the column carries no unit comment in the database. NULL for batches with flat topography.
area_size,varchar(255),[m],no,,"descriptive label, '2000 x 2000 m' or '4000 x 4000 m'","Nominal label of the service area, in meters. DESCRIPTIVE ONLY -- the authoritative spatial extent of an instance is given by the coordinates in the raw_data location tables, whose scale is instance-set specific and is NOT meters. Do not parse this column to derive an extent, and do not assume it relates to the coordinate values."
low_emissions_zone_type,text,-,yes,,free text,"Kind of low-emission or access-restricted zone imposed on the service area. NULL for batches without access restrictions. Where present, affected locations carry a matching zone_restriction value in raw_data."
low_emissions_zone_percent,double precision,[-],yes,,"[0, 1]","Share of the service area, or of the customers, covered by low-emission zones -- which of the two depends on the generator mode used."
low_emissions_zone_number,integer,[-],yes,,non-negative integer,"Number of distinct low-emission zones placed in the service area, i.e., three distinct areas can summarize a 10% LEZ share."
depot_location,varchar(255),-,no,,"Random, Centered, Left-upper Corner",Rule used to place the truck depot within the service area. The generator also offers placement at the origin and at the upper left corner.
robot_release_from_depot,boolean,-,no,,"true, false","TRUE if robots may additionally be released from the truck depot, not only from robot hubs, drop-off points and potential customer sites."
no_pickup_locations_determination,text,-,yes,,"Fixed, Random, Customer-based",Rule used to determine how many pickup locations an instance receives. NULL for batches without pickup locations.
distribution_of_pickup_locations,text,-,yes,,"Centered, Flexible",Rule used to place pickup locations in the service area. NULL for batches without pickup locations.
