variable,data_type,unit,nullable,key,domain,description
key,integer,-,no,PK,positive integer,"Surrogate primary key, generated as an identity column. Internal, not stable across releases."
id,varchar(50),-,no,,"'DP' for the depot; 'R-<n>' for a robot hub; 'S-<n>' for a drop-off point","Location identifier, unique within the instance. Referenced by raw_data.travel_matrices through the shared per-instance location namespace."
x_coordinate,double precision,-,no,,real,"Planar x coordinate in the same frame as raw_data.customers. The scale is instance-set specific and carries NO dataset-wide unit -- it is NOT meters, it differs between publications, and values may be negative. NOT a geographic coordinate. Never derive a distance from coordinates; use raw_data.travel_matrices."
y_coordinate,double precision,-,no,,real,Planar y coordinate in the same frame as x_coordinate. Same caveats apply.
z_coordinate,double precision,[m],yes,,real,Elevation above the frame's reference level. NULL for batches with flat topography.
zone_restriction,text,-,yes,,zone identifier,Access-restricted zone containing this location. NULL means unrestricted.
location_type,varchar(50),-,no,,"Depot, Robot Hub, Drop-off Point",Role of the node. 'Depot' is the truck depot and occurs exactly once per instance. 'Robot Hub' is a robot hub where robots are stationed. 'Drop-off Point' is a location at which robots may be released but where no robots are stationed.
initial_robot_availability,double precision,[-],yes,,"non-negative whole numbers, or Infinity","Number of robots initially stationed at this location. INTENTIONALLY double precision so it can hold IEEE-754 Infinity, denoting unlimited availability. Never cast to integer: the cast cannot represent Infinity and destroys the distinction between 'unlimited' and an arbitrary bound. All finite values are whole numbers. Typically 0 for drop-off points, positive for robot hubs."
max_robot_capacity,double precision,[-],yes,,"non-negative whole numbers, or Infinity","Maximum number of robots that can be held at this location. Infinity denotes unlimited capacity, i.e. hub capacity is not a binding constraint in that batch. Same casting caveat as initial_robot_availability. A finite value here is what makes robot reallocation between hubs a constrained decision. Note the three distinct cases: a finite value (capacity binds), Infinity (unlimited capacity), and NULL (capacity is not modeled at all in that batch) -- NULL means 'not applicable', neither zero nor unlimited."
charging_station,boolean,-,yes,"","true, false; default false",TRUE if the truck can recharge at this location.
instance_key,integer,-,no,FK,references metadata.instances(key),Instance this location belongs to. ON DELETE CASCADE.
time_window_start,double precision,[s],yes,,non-negative,"Earliest permitted service start at this location, relative to the start of the planning horizon (t = 0). NOT a time of day. NULL if no time window applies."
time_window_end,double precision,[s],yes,,non-negative,"Latest permitted service start at this location, relative to the start of the planning horizon. NULL if no time window applies."
