variable,data_type,unit,nullable,key,domain,description
instance_key,integer,-,no,"PK, FK",references metadata.instances(key),"Instance this matrix entry belongs to, and the leading column of the primary key. ALWAYS restrict on this column before joining anything else: this table holds over 99% of the rows in the dataset and a query without this predicate reads all of it. ON DELETE CASCADE."
start_location_id,varchar(50),-,no,PK,"location id: 'DP', 'R-<n>', 'S-<n>', 'C-<n>', 'CR-<n>', 'CP-<n>' or 'P-<n>'","Origin location. Refers to the per-instance location namespace shared by raw_data.customers, raw_data.network_locations and raw_data.pickup_locations. There is deliberately no foreign key, because no single table can be the referent -- resolve it by unioning the three location tables. NOTE the full prefix set: drop-off points are 'S-', and customers carry a type-dependent prefix ('C-' regular, 'CR-' return, 'CP-' pickup)."
end_location_id,varchar(50),-,no,PK,"location id, same namespace as start_location_id","Destination location. The matrix is not assumed symmetric and both directions are stored explicitly, so one-way streets and altitude-dependent asymmetries can be represented. Self-pairs (start = end) are present with zero travel."
truck_time,double precision,[s],yes,,non-negative,Truck travel time for this ordered pair along the road network. Including or excluding service times is paper-dependent.
robot_time,double precision,[s],yes,,non-negative,"Robot travel time for this ordered pair along the sidewalk network. NULL if the robot cannot traverse the pair. Systematically longer than the truck time over the same pair at typical robot speeds."
truck_distance,double precision,[m],yes,,non-negative,Truck travel distance along the road network. NULL if the truck cannot traverse the pair.
robot_distance,double precision,[m],yes,,non-negative,Robot travel distance along the sidewalk network. NOT derivable from the coordinates and not proportional to the truck distance: robot paths follow pedestrian infrastructure and are may longer than the straight-line distance by a factor that varies per pair. This is why the core dump alone cannot be used to solve instances.
truck_emission,double precision,[kg],yes,,non-negative,Truck CO2-equivalent emissions for traversing this pair.
robot_emission,double precision,[kg],yes,,non-negative,Robot CO2-equivalent emissions for traversing this pair.
truck_altitude_up,double precision,[m],yes,,non-negative,"Cumulative ascent along the truck path. Reported as a positive magnitude."
robot_altitude_up,double precision,[m],yes,,non-negative,Cumulative ascent along the robot path. Reported as a positive magnitude.
truck_altitude_down,double precision,[m],yes,,non-negative,"Cumulative descent along the truck path, reported as a POSITIVE magnitude, not as a negative value."
robot_altitude_down,double precision,[m],yes,,non-negative,"Cumulative descent along the robot path, reported as a POSITIVE magnitude."
